STATE,State,Num of Guns,Num of Population,"Gun Death Rate (Per 100,000)","Gun Ownership Rate (Per 100,000)"
AL,Alabama,"161,641","4,874,747",21.4,
AK,Alaska,"15,824","739,795",23,
AZ,Arizona,"179,738","7,016,270",15.2,
AR,Arkansas,"79,841","3,004,279",17.7,
CA,California,"344,622","39,536,653",7.9,
CO,Colorado,"92,435","5,607,154",14.3,
CT,Connecticut,"82,400","3,588,184",4.6,
DE,Delaware,"4,852","961,939",10.9,
,District of Columbia,"47,228","693,972",,
FL,Florida,"343,288","20,984,400",12.6,
GA,Georgia,"190,050","10,429,379",14.9,
HI,.Hawaii,"7,859","1,427,538",4.5,
ID,Idaho,"49,566","1,716,943",14.6,
IL,Illinois,"146,487","12,802,023",11.6,
IN,Indiana,"114,019","6,666,818",14.9,
IA,Iowa,"28,494","3,145,711",9.2,
KS,Kansas,"52,634","2,913,123",13.3,
KY,Kentucky,"81,068","4,454,189",17.5,
LA,Louisiana,"116,831","4,684,333",21.2,
ME,Maine,"15,371","1,335,907",8.2,
MD,Maryland,"103,109","6,052,177",11.8,
MA,Massachusetts,"37,152","6,859,819",3.4,
MI,Michigan,"65,742","9,962,311",12.2,
MN,Minnesota,"79,307","5,576,606",7.6,
MS,Mississippi,"35,494","2,984,100",19.8,
MO,Missouri,"72,996","6,113,532",18.8,
MT,Montana,"22,133","1,050,493",19,
NE,Nebraska,22234,"1,920,076",9.1,
NV,Nevada,76888,"2,998,039",16.7,
NH,New Hampshire,64135,"1,342,795",9.3,
NJ,New Jersey,57507,"9,005,644",5.5,
NM,New Mexico,97580,"2,088,070",18.2,
NY,New York,76207,"19,849,399",4.4,
NC,North Carolina,152238,"10,273,419",13.6,
ND,North Dakota,13272,"755,393",11.9,
OH,Ohio,"173,405","11,658,609",12.9,
OK,Oklahoma,"71,269","3,930,864",19.6,
OR,Oregon,"61,383","4,142,776",11.8,
PA,Pennsylvania,"236,377","12,805,537",11.9,
RI,Rhode Island,"4,223","1,059,639",4,
SC,South Carolina,"105,601","5,024,369",17.7,
SD,South Dakota,"21,130","869,666",13.5,
TN,Tennessee,"99,159","6,715,984",17,
TX,Texas,"588,696","28,304,596",12.1,
UT,Utah,"72,856","3,101,833",12.9,
VT,Vermont,"5,872","623,657",11,
VA,Virginia,"307,822","8,470,020",12,
WA,Washington,"91,835","7,405,743",9,
WV,West Virginia,"35,264","1,815,857",17.5,
WI,Wisconsin,"64,878","5,795,483",11.4,
WY,Wyoming,"132,806","579,315",17.5,